# r/xi n_trench/mu n_bucket/mu
1.346966e-01 1.000000e+00 1.000000e+00
4.040897e-01 1.000000e+00 1.000000e+00
6.734829e-01 1.000000e+00 1.000000e+00
9.428760e-01 1.000000e+00 1.000000e+00
1.212269e+00 1.000000e+00 1.000000e+00
1.481662e+00 1.000000e+00 1.000000e+00
1.751056e+00 1.000000e+00 1.000000e+00
2.020449e+00 1.000000e+00 1.000000e+00
2.289842e+00 1.000000e+00 1.000000e+00
2.559235e+00 1.000000e+00 1.000000e+00
2.828628e+00 1.000000e+00 1.000000e+00
3.098021e+00 1.000000e+00 1.000000e+00
3.367414e+00 1.000000e+00 1.000000e+00
3.636808e+00 1.000000e+00 1.000000e+00
3.906201e+00 1.000000e+00 1.000000e+00
4.175594e+00 1.000000e+00 1.000000e+00
4.444987e+00 1.000000e+00 1.000000e+00
4.714380e+00 1.000000e+00 1.000000e+00
4.983773e+00 1.000000e+00 1.000000e+00
5.253167e+00 1.000000e+00 1.000000e+00
5.522560e+00 1.000000e+00 1.000000e+00
5.791953e+00 1.000000e+00 1.000000e+00
6.061346e+00 1.000000e+00 1.000000e+00
6.330739e+00 1.000000e+00 1.000000e+00
6.600132e+00 1.000000e+00 1.000000e+00
6.869525e+00 1.000000e+00 1.000000e+00
7.138919e+00 1.000000e+00 1.000000e+00
7.408312e+00 1.000000e+00 1.000000e+00
7.677705e+00 1.000000e+00 1.000000e+00
7.947098e+00 1.000000e+00 1.000000e+00
8.216491e+00 1.000000e+00 1.000000e+00
8.485884e+00 1.000000e+00 1.000000e+00
8.755278e+00 1.000000e+00 1.000000e+00
9.024671e+00 1.000000e+00 1.000000e+00
9.294064e+00 1.000000e+00 1.000000e+00
9.563457e+00 1.000000e+00 1.000000e+00
9.832850e+00 1.000000e+00 1.000000e+00
1.010224e+01 1.000000e+00 1.000000e+00
1.037164e+01 1.000000e+00 1.000000e+00
1.064103e+01 1.000000e+00 1.000000e+00
1.091042e+01 1.000000e+00 1.000000e+00
1.117982e+01 1.000000e+00 1.000000e+00
1.144921e+01 1.000000e+00 1.000000e+00
1.171860e+01 1.000000e+00 1.000000e+00
1.198800e+01 1.000000e+00 1.000000e+00
1.225739e+01 1.000000e+00 1.000000e+00
1.252678e+01 1.000000e+00 1.000000e+00
1.279617e+01 1.000000e+00 1.000000e+00
1.306557e+01 1.000000e+00 1.000000e+00
1.333496e+01 1.000000e+00 1.000000e+00
1.360435e+01 1.000000e+00 1.000000e+00
1.387375e+01 1.000000e+00 1.000000e+00
1.414314e+01 1.000000e+00 1.000000e+00
1.441253e+01 1.000000e+00 1.000000e+00
1.468193e+01 1.000000e+00 1.000000e+00
1.495132e+01 1.000000e+00 1.000000e+00
1.522071e+01 1.000000e+00 1.000000e+00
1.549011e+01 1.000000e+00 1.000000e+00
1.575950e+01 1.000000e+00 1.000000e+00
1.602889e+01 1.000000e+00 1.000000e+00
1.629829e+01 1.000000e+00 1.000000e+00
1.656768e+01 1.000000e+00 1.000000e+00
1.683707e+01 1.000000e+00 1.000000e+00
1.710647e+01 1.000000e+00 1.000000e+00
1.737586e+01 1.000000e+00 1.000000e+00
1.764525e+01 1.000000e+00 1.000000e+00
1.791464e+01 1.000000e+00 1.000000e+00
1.818404e+01 1.000000e+00 1.000000e+00
1.845343e+01 1.000000e+00 1.000000e+00
1.872282e+01 1.000000e+00 1.000000e+00
1.899222e+01 1.000000e+00 1.000000e+00
1.926161e+01 1.000000e+00 1.000000e+00
1.953100e+01 1.000000e+00 1.000000e+00
1.980040e+01 1.000000e+00 1.000000e+00
